developer,Installs,Avg_Rating,inv_Global_rank,containsAds,Comment_reply,Counts
Snap Inc,0.3897637795275591,0.4226804123711343,0.4928861788617887,1.0,0.0,1.0
Sberbank of Russia,0.03543307086614173,0.876288659793814,0.09670350609756098,0.0,0.1643002028397566,1.0
Sofeh Sunrise,0.03543307086614173,0.40206185567010255,0.0006874701099952186,1.0,0.002028397565922921,1.0
Samsung R&D Institute India Noida,0.03543307086614173,0.47422680412371143,0.002838688242651658,0.0,0.0,1.0
Skype,0.3897637795275591,0.36082474226804084,0.18861788617886183,1.0,0.0,1.0
Scoompa,0.015748031496062992,0.7422680412371134,0.010338425183559798,1.0,0.07099391480730223,1.0
ShareChat,0.03543307086614173,0.4536082474226797,0.005117299129394563,1.0,0.04056795131845842,1.0
Shopee,0.015748031496062992,0.7113402061855671,0.02162889053132956,0.0,0.36105476673427994,1.0
Sigmoid Labs and its Affiliates,0.03543307086614173,0.6288659793814428,0.023336344474555855,0.0,0.0,1.0
SimSimi Inc.,0.03543307086614173,0.47422680412371143,0.015109520929920045,1.0,0.2434077079107505,1.0
Social Quantum Ltd,0.015748031496062992,0.536082474226804,0.0014102288599978537,1.0,0.3813387423935091,1.0
Safe Security Develop,0.03543307086614173,0.6494845360824746,0.23932926829268297,1.0,0.22718052738336714,1.0
3DGames,0.015748031496062992,0.536082474226804,0.001619664634146343,1.0,0.0,1.0
SYBO Games,0.3897637795275591,0.536082474226804,0.8732215447154472,1.0,0.09533468559837728,1.0
Piriform,0.015748031496062992,0.7010309278350517,0.010169586231944795,1.0,0.006085192697768763,1.0
Odnoklassniki Ltd,0.03543307086614173,0.36082474226804084,0.0030463078353411277,1.0,0.40973630831643004,1.0
OneLouder Apps,0.015748031496062992,0.6494845360824746,0.004654255319148936,1.0,0.4016227180527383,1.0
Ookla,0.03543307086614173,0.47422680412371143,0.006115032497029844,1.0,0.0,1.0
PIKPOK,0.015748031496062992,0.6597938144329891,0.008382528092796854,1.0,0.1257606490872211,1.0
PIXONIC,0.015748031496062992,0.391752577319588,0.00075040307365099,1.0,0.002028397565922921,1.0
PSafe,0.03543307086614173,0.6288659793814428,0.05403767979987493,1.0,0.9634888438133874,1.0
Pandora,0.03543307086614173,0.3092783505154637,0.0025166820064427067,1.0,0.19269776876267747,1.0
PayPal Mobile,0.03543307086614173,0.5051546391752577,0.008239425748687867,0.0,0.008113590263691683,1.0
Paytm - One97 Communications Ltd.,0.03543307086614173,0.5567010309278349,0.05150933453778982,1.0,0.6896551724137931,1.0
PhonePe,0.03543307086614173,0.536082474226804,0.023536152914720637,0.0,0.7281947261663286,1.0
"Photomath, Inc.",0.015748031496062992,0.7216494845360826,0.011778194705023975,1.0,0.19269776876267747,1.0
PicsArt,0.19291338582677167,0.412371134020618,0.12498007333014508,1.0,0.592292089249493,1.0
PinGuo Inc.,0.03543307086614173,0.5257731958762886,0.02657461919446781,1.0,0.2697768762677485,1.0
Pinterest,0.03543307086614173,0.7010309278350517,0.068325770467007,1.0,0.0,1.0
Play365,0.03543307086614173,0.412371134020618,0.001944552475137508,1.0,0.1643002028397566,1.0
SUD Inc.,0.03543307086614173,0.3402061855670109,0.011402659152945322,1.0,0.0,1.0
PlayStation Mobile Inc.,0.015748031496062992,0.5773195876288657,0.0015843699639669015,1.0,0.0,1.0
Pretty Simple,0.03543307086614173,0.6804123711340209,0.04804949365283127,1.0,0.0,1.0
"Prisma Labs, Inc.",0.015748031496062992,0.536082474226804,0.0002909538297836984,1.0,0.13184584178498987,1.0
QuVideo Inc. Best Video Editor & Video Maker App,0.03543307086614173,0.5876288659793811,0.10610445087501724,1.0,0.11561866125760649,1.0
RARLAB (published by win.rar GmbH),0.03543307086614173,0.48453608247422686,0.005276735459662292,1.0,0.036511156186612576,1.0
RadioFM,0.015748031496062992,0.6804123711340209,0.006173488459022523,1.0,0.24137931034482757,1.0
Reliance Big Entertainment (UK) Private Limited,0.015748031496062992,0.6288659793814428,0.008748388454758338,1.0,0.1947261663286004,1.0
Reliance Corporate IT Park Limited,0.03543307086614173,0.47422680412371143,0.03612408464510177,0.0,0.08316430020283976,1.0
"Retrica, Inc.",0.03543307086614173,0.44329896907216515,0.023738098343550285,0.0,0.6511156186612576,1.0
Runner  Games,0.03543307086614173,0.4948453608247423,0.007483652818179559,1.0,0.0,1.0
Runtastic,0.015748031496062992,0.6288659793814428,0.004212860310421288,1.0,0.18864097363083165,1.0
SEGA,0.03543307086614173,0.6804123711340209,0.05274965485503912,1.0,0.0,1.0
SHAREit Technologies Co.Ltd,0.3897637795275591,0.37113402061855627,0.2487202649804276,1.0,0.8133874239350912,1.0
SK Communications,0.03543307086614173,0.6494845360824746,0.0261109571322986,1.0,0.010141987829614604,1.0
Roblox Corporation,0.03543307086614173,0.4948453608247423,0.08719512195121953,0.0,0.0,1.0
TAPCLAP,0.015748031496062992,0.6494845360824746,0.004857286476090569,1.0,0.18661257606490872,1.0
Sony Mobile Communications,0.015748031496062992,0.6494845360824746,0.0032160763868080942,0.0,0.0,1.0
SoundCloud,0.03543307086614173,0.608247422680412,0.03342063621978502,1.0,0.0,1.0
Zedge,0.03543307086614173,0.5876288659793811,0.06294185224460941,1.0,0.05476673427991886,1.0
Zakeh,0.19291338582677167,0.4329896907216497,0.17260376551133935,1.0,0.0,1.0
"ZOETOP BUSINESS CO., LIMITED",0.015748031496062992,0.6907216494845363,0.007889471418078668,0.0,0.1075050709939148,1.0
ZDevs,0.015748031496062992,0.5773195876288657,0.001139443212613946,0.0,0.010141987829614604,1.0
Yousician Ltd.,0.015748031496062992,0.8659793814432994,0.025434891220420593,0.0,0.02636916835699797,1.0
Yahoo,0.03543307086614173,0.5876288659793811,0.035419864688157374,1.0,0.17849898580121704,1.0
Xiaomi MIUI,0.03543307086614173,0.6391752577319592,0.013945347786811203,1.0,0.07505070993914807,1.0
Xender File Sharing Team,0.03543307086614173,0.5876288659793811,0.020404521118381917,0.0,0.997971602434077,1.0
X-Flow,0.015748031496062992,0.6804123711340209,0.009676712928745449,1.0,0.0872210953346856,1.0
WriteDiary.com,0.015748031496062992,0.7731958762886597,0.01383399209486166,1.0,0.002028397565922921,1.0
Wooga,0.015748031496062992,0.5257731958762886,0.00038057479340225693,1.0,0.028397565922920892,1.0
Wish Inc.,0.03543307086614173,0.4226804123711343,0.047507953340402975,0.0,0.2535496957403651,1.0
